patientprocedureid,MediaType,appannotationid,annotationfilepath,annotationfilesize,annotationname,isactive,archivestatus,ProcedureStatus,cognitouser_username,subscriptionstatus,terminationaction,mediaid
2319,Media,3aa745c4-87ad-4f5f-a00d-ab7194b65956,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_lkjhg_z_Anno_002.jpg,125993,z_lkjhg_z_Anno_002.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,2ff23fd8-c8db-4e3e-9bad-ff5675cfc34a,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/Image_005_z_Anno_001.jpg,1535541,Image_005_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,bcbff6ce-2b91-46b9-8c75-43cd35503025,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/ImageRename005_z_Anno_002.jpg,1548910,ImageRename005_z_Anno_002.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,9a341bc8-88b1-4bfe-a93d-d4c1a9cee66f,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_abcdRename_z_Anno_001.jpg,88063,z_abcdRename_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,3a538f1e-bafe-4bc5-bcc2-1e1fd7e18a1d,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/AbcdImage006_z_Anno_001.jpg,1496638,AbcdImage006_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2318,Media,5529ee85-cfad-4f51-a246-27cb3fcc2324,public/2318/E8ADDC3B-DE30-4676-A5CA-127F67A4F8F7/pdfs/original/z_secure_APPIUM_SETUPsjdchugwuwgucguwegcuywguegwucghchwvcvwgcvguygyegdyew.pdf,0,z_secure_APPIUM_SETUPsjdchugwuwgucguwegcuywguegwucghchwvcvwgcvguygyegdyew.pdf,1,NULL,NULL,Santhoshi_3,10,NULL,
2279,Media,3763a153-5ac2-4b30-8ac8-4d2c6bf3fa8b,public/2279/7623DC93-A624-49A0-935A-79F46366D2EA/images/original/z_12345_z_Anno_001.jpg,2604534,z_12345_z_Anno_001.jpg,1,NULL,NULL,Santhoshi_1,10,NULL,
2279,Media,bb10e3d8-5d89-45cf-97c4-8fa88c5f182c,public/2279/7623DC93-A624-49A0-935A-79F46366D2EA/images/original/z_giff_image.gif,6549576,z_1235.gif,1,NULL,NULL,Santhoshi_1,10,NULL,
2324,Media,CE406F34-7937-4DF2-85D9-3F03DB4808FB,public/2324/041E8EB1-6868-481D-8532-F5A3BD81ED64/images/original/Image_001.jpg,157234,Image_001.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,3BD82EF1-F4FD-4944-91B5-27EB7940A3B0,NULL,0,Image_004.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,EB2E260D-AF43-482E-A9F9-D42643493668,NULL,0,sample_video.mp4,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,7FCB40B7-9A10-4B2B-8416-9C3D925D911F,NULL,0,Image_003.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,A82376AB-7F38-4253-A6AD-A65EB4308DC2,NULL,0,Image_006.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,7A6FA2CB-352D-4D6B-A8A1-E932BC2D19FA,NULL,0,Image_005.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2324,Media,702F63CA-CE39-426D-88EB-82B10E6BC3EE,NULL,0,Image_002.jpg,1,NULL,NULL,Santhoshi_3,10,NULL,
2325,Media,1C6A857D-E23C-4D19-B197-CBE94B7C954E,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Imagerename2.jpg,169537,Imagerename2.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,5123A8EC-7D09-40F3-A2CD-A587413B9365,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Image_001.jpg,157234,Image_001.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,8F465F82-2BBB-4671-82DB-43D61584B9B1,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Imagerename1.jpg,161332,Imagerename1.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,3D5C3DCD-BF34-4587-8880-8EF5AD54A945,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Image_002.jpg,146031,Image_002.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,3BE85FC0-A6D2-4FFA-9F5B-D314B42BD7C9,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Image_003.jpg,184558,Image_003.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,94B8EE48-18B6-4884-8CE1-928441E3AA79,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/images/original/Imagerenameeeee.jpg,174431,Imagerenameeeee.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2267,Media,ef919dac-71e6-491d-9e9b-31fdb928a538,/z_yyuuoyuyuiyuiyy.jpg,1648746,z_yyuuoyuyuiyuiyy.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2267,Media,43a07697-1489-4b77-b772-14cb89669be7,public/2267/771C9EF5-F47A-4DA8-BA98-DF51851A89B6/pdfs/original/z_patient_4022_patient_20191112160957.pdf,0,z_patient_4022_patient_20191112160957.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2267,Media,145966ee-f311-4058-ad4f-575e2fb35aad,public/2267/771C9EF5-F47A-4DA8-BA98-DF51851A89B6/pdfs/original/z_patient_4022_patient_20191112160957.pdf,0,z_patient_4022_patient_20191112160957.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2267,Media,cb6eacf3-9c5b-42fa-aca5-8009072c41c6,public/2267/771C9EF5-F47A-4DA8-BA98-DF51851A89B6/pdfs/original/z_secure_4022_patient_20191112160957.pdf,0,z_secure_4022patientrena.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,secure_2020061711594026B3BB15-F233-4DAE-8A33-E2CC61099638,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/pdfs/original/secure_renamesecure123.pdf,94647,secure_renamesecure123.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2325,Media,patient_2020061711595123A26DB1-3122-46A8-99E1-84F805AD04C4,public/2325/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/pdfs/original/patient_20200617115951.pdf,89941,patient_20200617115951.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,E3E645AE-84EC-4EE2-814C-2FA0614A7FE0,public/2326/A7CDF5E2-0D95-45DC-9DAE-50F4FBDB932E/videos/original/Videoabc.mp4,15684351,Videoabc.mp4,1,NULL,NULL,Devsurgeon2,1,NULL,
2321,Media,patient_20200616173020FF002B2F-D125-47E0-8A2E-99EA079085C2,public/2321/041E8EB1-6868-481D-8532-F5A3BD81ED64/pdfs/original/patient_20200616173020.pdf,229049,patient_20200616173020.pdf,1,NULL,NULL,Surgeon.6,10,NULL,
2321,Media,secure_20200616173006D0B9F725-2036-4401-AD35-7A6EF6467ACD,public/2321/041E8EB1-6868-481D-8532-F5A3BD81ED64/pdfs/original/secure_20200616173006.pdf,229053,secure_20200616173006.pdf,1,NULL,NULL,Surgeon.6,10,NULL,
2321,Media,secure_20200616173031A4393391-00AF-47F9-9B99-DB8F3896B985,public/2321/041E8EB1-6868-481D-8532-F5A3BD81ED64/pdfs/original/secure_20200616173031.pdf,544906,secure_20200616173031.pdf,1,NULL,NULL,Surgeon.6,10,NULL,
2270,Media,10bbe59d-8c48-48c2-bef0-5ac77c9ff630,public/2270/76633496-44C9-4528-B9E9-5127A8105DFD/pdfs/original/z_patient_4022_patient_20191112160957.pdf,0,z_patient_renamepdfeeeeee.pdf,1,NULL,NULL,Devsurgeon2,1,NULL,
2321,Media,secure_20200617121853B594AB30-0B95-4F3A-991F-F0E2564FB8F6,public/2321/041E8EB1-6868-481D-8532-F5A3BD81ED64/pdfs/original/secure_20200617121853.pdf,201558,secure_20200617121853.pdf,1,NULL,NULL,Surgeon.6,10,NULL,
2326,Media,38e3f5ea-ee14-42e9-a0c7-89a6006fb8ae,undefinedz_Image_001.jpg,0,z_Image_001.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,0ece9860-3614-43b9-bfb0-893ddc722ec8,/z_NewMedia.jpg,0,z_NewMedia.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,de139e6d-35ad-45a4-8dfa-987e6c8fd286,/z_Testabc.jpg,1638687,z_aa.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,91617d58-836a-458f-83a0-ee7d933c8d2a,/z_rmm.jpg,1553784,z_7777.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,720600c4-e49e-40f7-ad65-1f48a657dfb9,/z_NewMedical.jpg,1598067,z_NewMedical.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,c6652a85-2497-45cf-be64-6ddd04694888,/z_0101.jpg,1531307,z_0101.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2326,Media,552edcec-b58f-41c7-9de8-5468b169440d,/z_gg.jpg,1598067,z_MedicalImage.jpg,1,NULL,NULL,Devsurgeon2,1,NULL,
2327,Media,021f4fbb-9adf-458b-9cc8-7ad3ebb1577f,public/2327/50E86E53-702F-4519-A5D3-EE2037031A2A/images/original/z_jpegImage.jpeg,8619,z_jpegImage.jpeg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,BF185CF1-E5BD-4BB7-A016-A1B65EECEB3A,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_003.jpg,184558,Image_003.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,718AC6D8-DB46-4313-9655-F5BFA92E6801,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_002.jpg,146031,Image_002.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,secure_20200617031312D2FAA091-3719-472B-853B-72A29F6F4AA5,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/pdfs/original/secure_20200617031312.pdf,90463,secure_20200617031312.pdf,1,NULL,NULL,Devuser.10,11,3,
2331,Media,90419BB8-261E-4471-B3E4-2D490F2F2991,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_005.jpg,174431,Image_005.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,68F1AC23-6476-4758-B07B-AEF80BD4A044,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_006.jpg,169537,Image_006.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,6174CEEB-C60D-4F88-9E86-A7EE2BCC8512,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_001.jpg,157234,Image_001.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,24C94C37-F51C-4C0C-A263-182931BE8A9A,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/videos/original/sample_video.mp4,15684351,sample_video.mp4,1,NULL,NULL,Devuser.10,11,3,
2331,Media,8D7261CB-283F-4B4C-9031-DFAD6876AAE4,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_004_Anno_001.jpg,596474,Image_004_Anno_001.jpg,1,NULL,NULL,Devuser.10,11,3,
2331,Media,FF14530D-8D72-4ABD-9FFF-8CC50AE37A6B,public/2331/50C4E932-BD6E-4419-A29A-5AFE583A34DA/images/original/Image_004.jpg,161332,Image_004.jpg,1,NULL,NULL,Devuser.10,11,3,
2332,Media,6C248D54-65EC-4ED3-9177-26C68630F99E,public/2332/5E505E35-9486-47BF-9993-4972A3008F14/images/original/2a.jpg,547443,2a.jpg,1,NULL,NULL,Devuser.10,11,3,
2332,Media,FC6AE851-BCF4-4906-B862-FD0AFDCB86DE,public/2332/5E505E35-9486-47BF-9993-4972A3008F14/videos/original/sample_video.mp4,15684351,sample_video1.mp4,1,NULL,NULL,Devuser.10,11,3,
2332,Media,C99795B3-BDE6-40DF-9DBA-77A29E3BE8AD,public/2332/5E505E35-9486-47BF-9993-4972A3008F14/images/original/i2.jpg,146031,Image_0021.jpg,1,NULL,NULL,Devuser.10,11,3,
2332,Media,8CB40897-2002-4A7B-9896-7C4A45A73509,public/2332/5E505E35-9486-47BF-9993-4972A3008F14/images/original/i1.jpg,157234,Image_0011.jpg,1,NULL,NULL,Devuser.10,11,3,
2332,Media,2667CE2A-FA23-4787-86EC-92CE6F490818,public/2332/5E505E35-9486-47BF-9993-4972A3008F14/images/original/Image_001_Anno_001.jpg,614081,1a.jpg,1,NULL,NULL,Devuser.10,11,3,
2333,Media,3CE0345E-B9C0-49A5-9758-84DFB54C6413,public/2333/C05FF8B1-F7AF-45C6-8EDB-F90E681C5B96/images/original/Image_002.jpg,517366,Image_002.jpg,1,NULL,NULL,Smith01,1,NULL,
